0.0287195,-2.9909737,2.9920321
0.2241474,-2.9522640,2.9136254
0.4203589,-2.9268809,2.8358034
0.6181762,-2.9145619,2.7600072
0.8171744,-2.9160822,2.6875900
1.0143805,-2.9323320,2.6240016
1.2101601,-2.9643539,2.5661738
1.4031067,-3.0131159,2.5116719
1.5904668,-3.0789769,2.4572682
1.7705154,-3.1622609,2.3975366
1.9416252,-3.2634512,2.3422345
2.1009001,-3.3821462,2.2986661
2.2458892,-3.5176440,2.2547727
2.3742513,-3.6691369,2.2274330
2.4835396,-3.8348971,2.2292347
2.5719624,-4.0125088,2.2249920
2.6382454,-4.1995566,2.2193562
2.6813165,-4.3933930,2.2129040
2.7004134,-4.5907348,2.2094167
2.6949165,-4.7892628,2.2099150
2.6648879,-4.9855549,2.2171786
2.6118744,-5.1765739,2.2407131
2.5381240,-5.3609412,2.2768914
2.4465653,-5.5370486,2.3373826
2.3399666,-5.7042227,2.4137142
2.2200955,-5.8631503,2.4985776
2.0899981,-6.0127249,2.5977100
1.9506741,-6.1544283,2.7039252
1.8038882,-6.2885540,2.8172137
1.6512149,-6.4154997,2.9341561
1.4933080,-6.5362658,3.0527447
1.3313271,-6.6513028,3.1751654
1.1657917,-6.7614563,3.2999997
0.9978906,-6.8670050,3.4266298
0.8270131,-6.9692494,3.5552744
0.6548571,-7.0679900,3.6556688
0.4811323,-7.1641231,3.6963334
0.3059386,-7.2581494,3.5963683
0.1303135,-7.3498838,3.4430836
-0.0467684,-7.4399007,3.2795526
-0.2246560,-7.5273028,3.1081969
-0.4046847,-7.6114496,2.9313488
-0.5865835,-7.6902113,2.7453889
-0.7721213,-7.7613959,2.5637061
-0.9617025,-7.8215137,2.3859391
-1.1552372,-7.8664803,2.2583365
-1.3522501,-7.8923106,2.1524262
-1.5506611,-7.8951849,2.0809869
-1.7480463,-7.8719510,2.0293397
-1.9393462,-7.8205508,1.9981846
-2.1207619,-7.7400454,2.0224959
-2.2873236,-7.6321541,2.0450414
-2.4349920,-7.4998885,2.0660258
-2.5610992,-7.3464434,2.0827281
-2.6634245,-7.1760883,2.1028727
-2.7409117,-6.9937496,2.1258853
-2.7944997,-6.8022770,2.1542174
-2.8256997,-6.6061383,2.1933751
-2.8371319,-6.4085424,2.2443620
-2.8314505,-6.2101863,2.3166688
-2.8103486,-6.0136645,2.4007149
-2.7744561,-5.8186219,2.4895410
-2.7244717,-5.6256978,2.5817413
-2.6625587,-5.4384204,2.6710191
-2.5884815,-5.2534261,2.7582971
-2.5040358,-5.0736253,2.8421781
-2.4100621,-4.8990326,2.9216029
-2.3062960,-4.7281422,2.9989985
-2.1954602,-4.5644579,3.0683275
-2.0759913,-4.4049447,3.1351792
-1.9497513,-4.2517907,3.1945106
-1.8162925,-4.1042015,3.2485767
-1.6764811,-3.9630824,3.2965445
-1.5300293,-3.8282077,3.3364181
-1.3782141,-3.7008600,3.3724524
-1.2193534,-3.5799299,3.3980926
-1.0562238,-3.4676948,3.4070411
-0.8865294,-3.3628796,3.3416106
-0.7120722,-3.2672537,3.2757847
-0.5341977,-3.1820260,3.2095623
-0.3486952,-3.1060303,3.1397794
-0.1612187,-3.0422438,3.0979101
0.0287195,-2.9909737,2.9920321
