0.1641019,-3.5870950,2.6789521
0.3423020,-3.4982397,2.6682917
0.5340829,-3.4454135,2.6575885
0.7282383,-3.3986022,2.5504755
0.9275056,-3.3788029,2.3847785
1.1275301,-3.3793352,2.3752887
1.3140934,-3.4422639,2.3657609
1.5010878,-3.5150888,2.7691246
1.6766529,-3.6087609,3.1181236
1.8280223,-3.7379265,3.1531615
1.9753394,-3.8732913,2.8580993
2.1175149,-4.0137101,2.8467260
2.2213352,-4.1834397,2.8353071
2.2914833,-4.3693983,2.9883586
2.3475844,-4.5618164,2.4772697
2.3678211,-4.7583537,2.4674118
2.3216283,-4.9526416,2.4575144
2.2430112,-5.1350927,2.8472900
2.1280123,-5.2957020,3.0206439
1.9794694,-5.4322647,3.1816167
1.8171102,-5.5491055,3.4867858
1.6533100,-5.6644586,3.7651525
1.4916308,-5.7800685,4.0223014
1.3285429,-5.8951205,4.2620900
1.1654007,-6.0102585,4.4873164
1.0023164,-6.1254148,4.7000881
0.8391802,-6.2404753,4.9020402
0.6759966,-6.3555289,5.0944716
0.5126439,-6.4706812,5.2784356
0.3495306,-6.5857407,5.4548003
0.1867561,-6.7007896,5.6242915
0.0237121,-6.8163907,5.5515825
-0.1386889,-6.9318983,5.0898568
-0.3007301,-7.0475014,4.6091045
-0.4646239,-7.1624669,4.1624976
-0.6282804,-7.2725794,3.6676208
-0.7954550,-7.3850979,3.1379740
-0.9690674,-7.4856561,2.9370233
-1.1594135,-7.5501394,2.9253360
-1.3569923,-7.5603330,2.9136017
-1.5518293,-7.5215238,2.9856123
-1.7365366,-7.4483775,2.8817129
-1.9033814,-7.3389587,2.8702456
-2.0336731,-7.1888122,2.8587324
-2.1232745,-7.0096079,2.9792863
-2.1713769,-6.8153920,3.1177643
-2.1869900,-6.6162154,3.3233926
-2.1903868,-6.4179595,3.6155975
-2.1834784,-6.2199539,3.8716175
-2.1785198,-6.0227414,3.3217525
-2.1691839,-5.8267114,2.7676297
-2.1716966,-5.6230421,2.1642312
-2.1342592,-5.4301650,2.1556190
-2.0194445,-5.2654606,2.1469723
-1.9128725,-5.0962016,2.5862370
-1.7929793,-4.9388849,2.9582270
-1.6413302,-4.8069375,3.0843210
-1.4895461,-4.6744790,3.3989569
-1.3431367,-4.5402184,3.6846232
-1.1940194,-4.4071229,3.9476305
-1.0472885,-4.2707585,3.8504577
-0.8954804,-4.1424614,3.8351355
-0.7264011,-4.0351526,3.8197519
-0.5489938,-3.9392903,4.0730485
-0.3713874,-3.8495351,4.3096331
-0.1934897,-3.7629168,4.5321377
-0.0140677,-3.6759641,4.7425579
0.1641019,-3.5870950,2.6789521
