0.0908303,-3.2644623,5.4981306
0.2902602,-3.2661248,5.5181673
0.4881880,-3.2719726,5.1810431
0.6858551,-3.2830882,4.9082701
0.8829124,-3.3032017,4.7024438
1.0784908,-3.3363992,4.5453436
1.2709088,-3.3859464,4.4172435
1.4578424,-3.4539425,4.3070076
1.6364669,-3.5414838,4.2135204
1.8034631,-3.6488634,4.1388908
1.9557698,-3.7761626,4.0891621
2.0897103,-3.9227806,4.0677958
2.2013049,-4.0868349,4.0516902
2.2880795,-4.2652086,4.0355204
2.3501639,-4.4537339,4.0608639
2.3898673,-4.6475392,4.1600554
2.4104720,-4.8439426,4.3084963
2.4138205,-5.0426913,4.4622945
2.4002686,-5.2417932,4.6009628
2.3704097,-5.4365996,4.7106371
2.3239566,-5.6303529,4.8045253
2.2616772,-5.8196101,4.8856159
2.1847924,-6.0019523,4.9561537
2.0929408,-6.1791292,5.0251229
1.9884932,-6.3474714,5.0911676
1.8714912,-6.5082666,5.1633147
1.7435457,-6.6604448,5.2425384
1.6061082,-6.8037247,5.3317792
1.4600167,-6.9387657,5.4367058
1.3071291,-7.0654333,5.5556870
1.1482591,-7.1848162,5.6974437
0.9846204,-7.2974983,5.8560115
0.8168754,-7.4040978,5.7173080
0.6453962,-7.5040968,5.5169359
0.4691787,-7.5964102,5.3367669
0.2890672,-7.6788367,5.1792049
0.1031351,-7.7505040,5.0218984
-0.0864203,-7.8093567,4.8669243
-0.2798889,-7.8543911,4.7168943
-0.4766916,-7.8840702,4.5765474
-0.6738051,-7.8965156,4.4508876
-0.8731860,-7.8900714,4.3341602
-1.0698266,-7.8631215,4.2287703
-1.2614001,-7.8145895,4.1409507
-1.4474045,-7.7425555,4.0738161
-1.6215190,-7.6472260,4.0302745
-1.7798767,-7.5291537,4.0143175
-1.9207941,-7.3881313,3.9982968
-2.0406997,-7.2287336,4.0214386
-2.1382493,-7.0557382,4.0711678
-2.2142303,-6.8730506,4.1507853
-2.2715793,-6.6837626,4.2848109
-2.3155294,-6.4907895,4.5076241
-2.3527315,-6.2968306,4.7182772
-2.3868267,-6.1023207,4.9183456
-2.4156486,-5.9049295,5.1090850
-2.4337076,-5.7085527,5.2831738
-2.4376274,-5.5114397,5.2295705
-2.4256458,-5.3111538,5.1813633
-2.3971746,-5.1143207,5.1444803
-2.3519009,-4.9212740,5.1120246
-2.2889348,-4.7311028,5.0917847
-2.2099906,-4.5500611,5.0714639
-2.1138273,-4.3755075,5.0515938
-2.0023297,-4.2114385,5.0314335
-1.8757918,-4.0580246,5.0186952
-1.7358949,-3.9170076,5.0139225
-1.5836959,-3.7889208,5.0193228
-1.4213391,-3.6748423,5.0380173
-1.2490066,-3.5743256,5.0651251
-1.0707113,-3.4888654,5.1058606
-0.8837648,-3.4166792,5.1506207
-0.6936383,-3.3593669,5.2054417
-0.4999871,-3.3160706,5.2627753
-0.3011556,-3.2860639,5.3268932
-0.1046231,-3.2696424,5.4001951
0.0908303,-3.2644623,5.4981306
