-0.1239909,-2.9566311,2.9857789
0.0680836,-2.9075003,2.9069262
0.2645610,-2.8720844,2.8310473
0.4645905,-2.8509654,2.7578288
0.6633042,-2.8449886,2.6929276
0.8632943,-2.8544509,2.6326278
1.0616412,-2.8798592,2.5781264
1.2571626,-2.9215847,2.5306774
1.4483324,-2.9798401,2.4834468
1.6336240,-3.0548508,2.4318348
1.8114248,-3.1468562,2.3761417
1.9782371,-3.2550159,2.3185572
2.1344548,-3.3811757,2.2782932
2.2752818,-3.5231714,2.2371521
2.3978583,-3.6791063,2.1981483
2.5020520,-3.8505838,2.2013980
2.5839940,-4.0327108,2.2011485
2.6429182,-4.2223422,2.1984338
2.6794131,-4.4180533,2.1945688
2.6933009,-4.6170951,2.1926766
2.6837949,-4.8158680,2.1973515
2.6506305,-5.0125154,2.2088265
2.5944466,-5.2045992,2.2310467
2.5175060,-5.3889263,2.2764212
2.4228363,-5.5641559,2.3465144
2.3125076,-5.7309252,2.4296078
2.1891494,-5.8886802,2.5244329
2.0558799,-6.0366503,2.6351941
1.9133589,-6.1767920,2.7512061
1.7632293,-6.3091299,2.8725527
1.6074224,-6.4330926,2.9966733
1.4455868,-6.5503458,3.1220858
1.2794028,-6.6614447,3.2493547
1.1105509,-6.7674918,3.3769444
0.9385397,-6.8703533,3.5042943
0.7656217,-6.9698565,3.6294303
0.5911170,-7.0674622,3.6334767
0.4160203,-7.1638067,3.5052798
0.2411537,-7.2597481,3.3611236
0.0659082,-7.3562879,3.2121348
-0.1091906,-7.4526195,3.0559654
-0.2862923,-7.5469384,2.8941919
-0.4649172,-7.6357993,2.7252159
-0.6492922,-7.7179078,2.5429174
-0.8352457,-7.7877150,2.3608047
-1.0277899,-7.8427503,2.1962528
-1.2250242,-7.8773043,2.0742554
-1.4216982,-7.8878169,1.9866925
-1.6194567,-7.8745021,1.9281960
-1.8163353,-7.8363816,1.8868233
-2.0031945,-7.7715390,1.9055255
-2.1798215,-7.6786650,1.9343418
-2.3414418,-7.5592734,1.9678839
-2.4821101,-7.4183429,1.9984674
-2.6012585,-7.2582421,2.0245562
-2.6974692,-7.0823281,2.0485658
-2.7690858,-6.8965037,2.0782965
-2.8173900,-6.7023966,2.1116405
-2.8431176,-6.5042592,2.1491368
-2.8479973,-6.3041283,2.2100909
-2.8337253,-6.1049290,2.2806437
-2.8017182,-5.9075102,2.3691166
-2.7531453,-5.7135245,2.4656823
-2.6901172,-5.5250181,2.5674041
-2.6140046,-5.3400913,2.6743419
-2.5269731,-5.1606340,2.7806243
